study	pmid	cancer_type	race	years_median_followup	n_deaths	n_patients	n_bm_neg	n_bm_pos	n_bm_first_recurrence	n_bm_subsequent_recurrences	n_male	n_female	n_smoker_never	n_smoker_ever	n_age_lt_60	n_age_ge_60	n_age_lt_50	n_age_ge_50_lt_70	n_age_ge_70	t_status_1_2	t_status_3_4	n_status_0_1	n_status_2_3	m_status_0	m_status_1	n_histology_luad	n_histology_sclc	n_histology_other	n_stage_i_ii	n_stage_iii	n_stage_i_ii_iii	n_stage_iv	bm_meta	bm_syn	n_egfr_wildtype	n_egfr_mutant	n_kras_wildtype	n_kras_mutant	period_start	period_end	study_type	registry	country	n_race_nfe_fin	n_race_afr	n_race_eas	n_race_sas	n_race_oth_amr	survival_overall_5y	other_primary_cancers	other_metastases	comments
Schouten 2002	12173339	NSCLC	Caucasian	7.50		742	646	96	NA	NA	NA	NA	NA	NA	NA	NA	54	378	310	NA	NA	NA	NA	NA	NA	NA	0	NA	180	233	413	283	43	53	NA	NA	NA	NA	1986	1995	population-based	Maastricht Cancer Registry	Netherlands	742	0	0	0	0	0.17	Yes	No	Synchronous vs. metachronous defined at 1 month after diagnosis; inferred from Table 3 and 4. Patients restrictedt to those living the neighbourhood of the hospital or who were referred for primary treatment; i.e., patients referred for possible brain metastasis is limited.
Schouten 2002	12173339	NSCLC, I-II	Caucasian	7.50		180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	180	0	180	0	15	NA	NA	NA	NA	NA	1986	1995	population-based	Maastricht Cancer Registry	Netherlands	180	0	0	0	0	NA			
Schouten 2002	12173339	NSCLC, III	Caucasian	7.50		233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	233	233	0	10	NA	NA	NA	NA	NA	1986	1995	population-based	Maastricht Cancer Registry	Netherlands	233	0	0	0	0	NA			
Schouten 2002	12173339	NSCLC, IV	Caucasian	7.50		146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	0	146	16	NA	NA	NA	NA	NA	1986	1995	population-based	Maastricht Cancer Registry	Netherlands	146	0	0	0	0	NA			
Schouten 2002	12173339	SCLC	Caucasian	7.50		196	136	60	NA	NA	NA	NA	NA	NA	NA	NA	13	108	75	NA	NA	NA	NA	NA	NA	0	196	0	NA	NA	NA	NA	37	23	NA	NA	NA	NA	1986	1995	population-based	Maastricht Cancer Registry	Netherlands	196	0	0	0	0	0.05			
Schouten 2002	12173339	NSCLC, 0-49 y	Caucasian	7.50		54	44	10	NA	NA	NA	NA	NA	NA	NA	NA	54	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	8	2	NA	NA	NA	NA	1986	1995	population-based	Maastricht Cancer Registry	Netherlands	54	0	0	0	0	NA			
Schouten 2002	12173339	NSCLC, 50-69 y	Caucasian	7.50		378	318	60	NA	NA	NA	NA	NA	NA	NA	NA	0	378	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	28	32	NA	NA	NA	NA	1986	1995	population-based	Maastricht Cancer Registry	Netherlands	378	0	0	0	0	NA			
Schouten 2002	12173339	NSCLC, 70+ y	Caucasian	7.50		310	284	26	NA	NA	NA	NA	NA	NA	NA	NA	0	0	310	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	7	19	NA	NA	NA	NA	1986	1995	population-based	Maastricht Cancer Registry	Netherlands	310	0	0	0	0	NA			
Schouten 2002	12173339	SCLC, 0-49 y	Caucasian	7.50		13	8	5	NA	NA	NA	NA	NA	NA	NA	NA	13	0	0	NA	NA	NA	NA	NA	NA	0	13	0	NA	NA	NA	NA	3	2	NA	NA	NA	NA	1986	1995	population-based	Maastricht Cancer Registry	Netherlands	13	0	0	0	0	NA			
Schouten 2002	12173339	SCLC, 50-69 y	Caucasian	7.50		108	67	41	NA	NA	NA	NA	NA	NA	NA	NA	0	108	0	NA	NA	NA	NA	NA	NA	0	108	0	NA	NA	NA	NA	28	13	NA	NA	NA	NA	1986	1995	population-based	Maastricht Cancer Registry	Netherlands	108	0	0	0	0	NA			
